ID,CATEGORY,Site Name,State,Other site,Industry,Sample mat,Sample dat,PFOA (ppt),PFOS (ppt),PFOA+PFOS,Total PFAS,Notes and,Link to PF,Link to su,Federal/st,Site-speci,Site-spe_1,"Site Name,",latitude,longitude,name,desc,color,source,precision,ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
1541.000000000000000,Known,Jamestown Cell D Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,8.000000000000000,7.000000000000000,14.000000000000000,65.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Jamestown Cell D Wastewater Treatment Plant, North Dakota",46.899999999999999,-98.700000000000003,,,,,,"58401","58401",B5,G6350,S,"1110347729","21125632","+46.8843120","-098.7667416"
1542.000000000000000,Known,Jamestown Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,2.000000000000000,3.000000000000000,5.000000000000000,30.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Jamestown Wastewater Treatment Plant, North Dakota",46.899999999999999,-98.700000000000003,,,,,,"58401","58401",B5,G6350,S,"1110347729","21125632","+46.8843120","-098.7667416"
1543.000000000000000,Known,McDaniel Landfill,North Dakota,,Landfill,Leachate,2018.000000000000000,1700.000000000000000,310.000000000000000,2010.000000000000000,8134.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"McDaniel Landfill, North Dakota",47.969999999999999,-101.099999999999994,,,,,,"58781","58781",B5,G6350,S,"285001914","899746","+48.0301137","-101.1339731"
1546.000000000000000,Known,Minot Landfill,North Dakota,,Landfill,Leachate,2018.000000000000000,250.000000000000000,45.000000000000000,295.000000000000000,2388.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Minot Landfill, North Dakota",48.210000000000001,-101.340000000000003,,,,,,"58701","58701",B5,G6350,S,"610117978","9454895","+48.1448263","-101.3260158"
1547.000000000000000,Known,Minot Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,29.000000000000000,12.000000000000000,41.000000000000000,177.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Minot Wastewater Treatment Plant, North Dakota",48.219999999999999,-101.310000000000002,,,,,,"58701","58701",B5,G6350,S,"610117978","9454895","+48.1448263","-101.3260158"
1548.000000000000000,Known,Noonan Landfill,North Dakota,,Landfill,Leachate,2018.000000000000000,140.000000000000000,15.000000000000000,155.000000000000000,1499.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Noonan Landfill, North Dakota",48.869999999999997,-103.000000000000000,,,,,,"58765","58765",B5,G6350,S,"414598802","6086468","+48.8732948","-103.0428170"
1549.000000000000000,Known,Robinson Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,3.000000000000000,2.000000000000000,5.000000000000000,13.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Robinson Wastewater Treatment Plant, North Dakota",47.140000000000001,-99.780000000000001,,,,,,"58478","58478",B5,G6350,S,"438628917","45396845","+47.1617781","-099.7454421"
1550.000000000000000,Known,Sawyer Landfill Facility,North Dakota,,Landfill,Leachate,2018.000000000000000,160.000000000000000,95.000000000000000,245.000000000000000,11367.000000000000000,"Testing included five areas of the landfill facility: S Pond Evap Basin 1 Landfill, S Pond Evap Basin 2 Landfill, S Pond Evap Basin 3 Landfill, N Pond West Landfill, N Pond East Landfill",https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Sawyer Landfill Facility, North Dakota",47.969999999999999,-101.099999999999994,,,,,,"58781","58781",B5,G6350,S,"285001914","899746","+48.0301137","-101.1339731"
1551.000000000000000,Known,Walhalla Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,9.000000000000000,5.000000000000000,14.000000000000000,56.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,https://drive.google.com/drive/folders/11cbVmBaqGGaLIY7WiFdLU8yDU0dzYw_P,"Walhalla Wastewater Treatment Plant, North Dakota",48.909999999999997,-97.900000000000006,,,,,,"58282","58282",B5,G6350,S,"567176707","655363","+48.8981413","-097.9418498"
1552.000000000000000,Known,Williston Landfill,North Dakota,,Landfill,Leachate,2018.000000000000000,260.000000000000000,19.000000000000000,309.000000000000000,1986.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Williston Landfill, North Dakota",48.159999999999997,-103.579999999999998,,,,,,"58801","58801",B5,G6350,S,"1854659421","51322307","+48.2384858","-103.7696488"
1553.000000000000000,Known,Air Force Plant 85,Ohio,,Military,Groundwater,2018.000000000000000,3400.000000000000000,5.000000000000000,,,"From 1941 to 1977, a fire-training area was used to burn waste oil, solvents and aviation fuels in training exercises. Additionally, ast operations at the plant included machining, metal finishing, electroplating, forming, painting, coating and assembly.",https://drive.google.com/file/d/1tvcI73WVoDHbjuRLlhDvWGKdUtA3hQFL/view?usp=sharing,https://drive.google.com/a/husky.neu.edu/file/d/1LPI3WkIrkDRvnvgDsEG6ZcYOvHZw4r0X/view?usp=sharing,http://afcec.publicadmin-record.us.af.mil/,https://drive.google.com/drive/u/0/folders/1scj9AdIO8MKNFdDh8khZS_1G16-kvHcT,,"Air Force Plant 85, Ohio",39.979999999999997,-82.890000000000001,,,,,,"43213","43213",B5,G6350,S,"26737723","221602","+39.9712006","-082.8639583"
1554.000000000000000,Known,Camp Ravenna Joint Military Training Center,Ohio,Camp James A Garfield,Military,Drinking Water,2018.000000000000000,,,,4.000000000000000,,https://drive.google.com/file/d/1g1t60FsMLcfluvkLqorqlbsHnkF_rNZw/view?usp=sharing,https://drive.google.com/file/d/1g1t60FsMLcfluvkLqorqlbsHnkF_rNZw/view?usp=sharing,,https://drive.google.com/drive/u/0/folders/17vc5JX3Gvo92Bih-kg-GABnBbExIJhXg,,"Camp Ravenna Joint Military Training Center, Ohio",41.159999999999997,-81.079999999999998,,,,,,"44266","44266",B5,G6350,S,"237974809","16757963","+41.1689703","-081.1969618"
1556.000000000000000,Known,Former Gentile Air Force Station,Ohio,,Military,Groundwater,2018.000000000000000,34.000000000000000,146.000000000000000,180.000000000000000,,AFFF used at the former Gentile Air Force Station,N/A,,http://afcec.publicadmin-record.us.af.mil/,https://drive.google.com/drive/u/0/folders/1QJjq68Bpo6WtgqZYcW4s6yDSU6zwpeky,,"Former Gentile Air Force Station, Ohio",39.710000000000001,-84.150000000000006,,,,,,"45419","45419",B5,G6350,S,"9651541","0","+39.7143110","-084.1675966"
1557.000000000000000,Known,Mansfield Air National Guard Base,Ohio,"Mansfield-Lahm Regional Airport, 179th Airlift Wing",Military,Groundwater,2018.000000000000000,2200.000000000000000,640.000000000000000,2840.000000000000000,7358.000000000000000,,https://drive.google.com/file/d/1DiIsymPLPv7wbLOG47vRG7i0uRPnZ4nC/view?usp=sharing,https://ar.afcec-cloud.af.mil/Search.aspx,,,,"Mansfield Air National Guard Base, Ohio",40.810000000000002,-82.510000000000005,,,,,,"44903","44903",B5,G6350,S,"295506334","6176610","+40.7762232","-082.5268238"
1558.000000000000000,Known,Newark Air Force Base,Ohio,,Military,Groundwater,2017.000000000000000,249.000000000000000,1160.000000000000000,,1831.000000000000000,AFFF used at the former Newark Air Force Base,https://www.agri-pulse.com/ext/resources/pdfs/congress/STATUS-OF-NOTIFICATIONS-TO-AGRICULTURAL-OPERATIONS-PURSUANT-TO-SECTION-335-OF-THE-FISCAL-YEAR-2021-NATIONAL-DEFENSE-AUTHORIZATION-ACT-1.pdf,,http://afcec.publicadmin-record.us.af.mil/,https://drive.google.com/drive/u/0/folders/1p3LZ4N5LPnBwiDNE5nuKItv62nibAmPi,https://drive.google.com/drive/folders/1RPkS6z13WZyQgbKnPkZGd9go8DcXbIoY?usp=sharing,"Newark Air Force Base, Ohio",40.020000000000003,-82.469999999999999,,,,,,"43056","43056",B5,G6350,S,"225288433","958132","+40.0090345","-082.3317792"
1560.000000000000000,Known,Springfield-Beckley Air National Guard Base,Ohio,"Springfield-Beckley Municipal Airport, Ohio Air National Guard 178th Fighter Wing",Military,Groundwater,2018.000000000000000,4800.000000000000000,2100.000000000000000,4810.000000000000000,7851.000000000000000,,https://drive.google.com/file/d/1z8zMoSUtj1pcpJIucD06iRTMMs9dTBZR/view?usp=sharing,https://ar.afcec-cloud.af.mil/Search.aspx,,,,"Springfield-Beckley Air National Guard Base, Ohio",39.840000000000003,-83.840000000000003,,,,,,"45502","45502",B5,G6350,S,"298666291","697513","+40.0012390","-083.8999833"
